Wavelength,Clean Snow,2022-5-16-BB-DBC,2022-6-BB-DBC,2022-7-BB-DBC,2022-7-15-MUIR-A-DBC,2022-8-5-SHOLES-1-DBC,2022-8-6-RAINBOW-1-DBC,2022-8-11-EASTON-1-DBC,2022-8-15-MUIR-1-DBC,2022-9-15-PR-SNOW,2022-9-15-SHOLES-1-DBC,2022-9-25-SHOLES-1-DBC,2022-10-14-SHOLES-1-DBC
1415,0.023774848,0.018582424,0.017169373,0.019553631,0.01722036,0.020196808,0.02033703,0.021073364,0.020703534,0.028793494,0.029209363,0.032131199,0.040333222
1425,0.012520609,0.009526623,0.008720065,0.010085656,0.008746909,0.010451717,0.010532275,0.010954725,0.010742326,0.015407016,0.015647366,0.017334637,0.022114736
1435,0.00770189,0.005771368,0.005254352,0.006132198,0.005270311,0.006366048,0.006417936,0.006689658,0.006552924,0.009558858,0.00971353,0.010811665,0.013902456
1445,0.005677972,0.004222655,0.0038341,0.004495252,0.00384536,0.004670465,0.004709593,0.004914258,0.004811201,0.007077459,0.007193988,0.008020903,0.010359152
1455,0.004615419,0.00341732,0.003098121,0.003642184,0.003106889,0.003785753,0.00381798,0.00398639,0.003901545,0.005767386,0.005863254,0.006544355,0.008472375
1465,0.004141923,0.003060329,0.002772482,0.003263559,0.002780152,0.003392842,0.003421943,0.003573944,0.003497345,0.005181824,0.005268335,0.005883395,0.007625177
1475,0.003952974,0.002918201,0.002642923,0.003112708,0.00265018,0.003236283,0.003264128,0.003409535,0.003336251,0.004947832,0.005030587,0.005619094,0.007285939
1485,0.003886043,0.002867891,0.002597051,0.003059268,0.00260419,0.003180851,0.003208247,0.003351314,0.00327921,0.004864894,0.004946321,0.005525389,0.007165592
1495,0.003865335,0.002852318,0.002582823,0.00304269,0.002589955,0.003163694,0.00319095,0.003333293,0.003261556,0.00483922,0.004920242,0.005496382,0.007128321
1505,0.003871201,0.002856707,0.002586776,0.0030473,0.002593968,0.003168537,0.003195829,0.00333838,0.003266542,0.004846478,0.004927626,0.005504585,0.007138843
1515,0.003882285,0.002865016,0.002594301,0.003056071,0.002601564,0.003177699,0.003205064,0.003348004,0.003275974,0.004860202,0.004941581,0.005520094,0.007158749
1525,0.003895679,0.002875061,0.002603409,0.003066684,0.002610746,0.003188775,0.003216226,0.003359637,0.003287374,0.004876786,0.004958442,0.005538836,0.007182805
1535,0.00391815,0.002891926,0.002618728,0.003084537,0.002626163,0.003207366,0.003234964,0.003379165,0.003306509,0.004904621,0.004986735,0.005570289,0.007223186
1545,0.003951797,0.002917191,0.002641701,0.003111304,0.00264926,0.003235212,0.003263033,0.003408412,0.003335168,0.004946297,0.005029092,0.005617379,0.007283643
1555,0.00399884,0.002952534,0.002673859,0.003148763,0.002681574,0.003274159,0.00330229,0.003449317,0.003375248,0.005004562,0.005088305,0.005683206,0.007368147
1565,0.004064405,0.003001819,0.002718724,0.003201013,0.00272664,0.00332846,0.003357024,0.003506342,0.003431126,0.005085752,0.005170812,0.005774922,0.007485863
1575,0.004160752,0.003074292,0.002784733,0.003277858,0.002792924,0.00340829,0.003437491,0.00359017,0.003513269,0.005205026,0.005292012,0.005909635,0.007658715
1585,0.004297254,0.003177063,0.002878383,0.003386827,0.002886946,0.003521457,0.003551559,0.003708988,0.003629705,0.005373933,0.005463638,0.006100359,0.007903324
1595,0.004415758,0.003266362,0.002959779,0.003481487,0.002968669,0.003619758,0.003650641,0.003812182,0.003730837,0.005520497,0.005612556,0.006265811,0.008115413
1605,0.00454398,0.003363069,0.003047958,0.003583984,0.003057199,0.003726182,0.003757906,0.003923886,0.003840315,0.005679002,0.005773602,0.006444699,0.008344613
1615,0.004685074,0.003469586,0.00314512,0.003696859,0.003154742,0.003843361,0.003876009,0.00404686,0.003960845,0.005853328,0.005950714,0.006641389,0.008596488
1625,0.004775967,0.00353825,0.003207758,0.003769595,0.003217637,0.00391888,0.003952121,0.004126104,0.004038519,0.005965579,0.006064757,0.006768014,0.008758566
