date,latitude (N),longitude (E),total_aot,smoke_aot
2023-07-09,48.5,-121.5,0.13134001,0.062925
2023-07-10,48.5,-121.5,0.09122,0.0391075
2023-07-11,48.5,-121.5,0.16378,0.093569994
2023-07-12,48.5,-121.5,0.1393525,0.0939475
2023-07-13,48.5,-121.5,0.0823375,0.0414375
2023-07-14,48.5,-121.5,0.07745501,0.05181
2023-07-15,48.5,-121.5,0.0492325,0.025445001
2023-07-16,48.5,-121.5,0.04574,0.023732498
2023-07-17,48.5,-121.5,0.055414997,0.024122499
2023-07-18,48.5,-121.5,0.063954994,0.03514
2023-07-19,48.5,-121.5,0.06583501,0.0460275
2023-07-20,48.5,-121.5,0.08876,0.0593575
2023-07-21,48.5,-121.5,0.1821925,0.1012675
2023-07-22,48.5,-121.5,0.0661575,0.0282225
2023-07-23,48.5,-121.5,0.0375575,0.0107475
2023-07-24,48.5,-121.5,0.0575575,0.018755
2023-07-25,48.5,-121.5,0.09027749,0.03978
2023-07-26,48.5,-121.5,0.0688525,0.027480002
2023-07-27,48.5,-121.5,0.06569,0.0253125
2023-07-28,48.5,-121.5,0.18648499,0.0852575
2023-07-29,48.5,-121.5,0.118710004,0.0571125
2023-07-30,48.5,-121.5,0.087055005,0.05127
2023-07-31,48.5,-121.5,0.087082505,0.057362497
2023-08-01,48.5,-121.5,0.046032496,0.0246525
2023-08-02,48.5,-121.5,0.0480875,0.0174675
2023-08-03,48.5,-121.5,0.0179775,0.0056475
2023-08-04,48.5,-121.5,0.061267503,0.023555
2023-08-05,48.5,-121.5,0.20785251,0.09827
2023-08-06,48.5,-121.5,0.37374002,0.17885
2023-08-07,48.5,-121.5,0.4377125,0.2141575
2023-08-08,48.5,-121.5,0.30363747,0.14182499
2023-08-09,48.5,-121.5,0.03869,0.015064999
2023-08-10,48.5,-121.5,0.0668475,0.02869
2023-08-11,48.5,-121.5,0.051605,0.026755
2023-08-12,48.5,-121.5,0.06837,0.0307325
2023-08-13,48.5,-121.5,0.10767,0.06717
2023-08-14,48.5,-121.5,0.12405,0.10664251
2023-08-15,48.5,-121.5,0.141925,0.1272175
2023-08-16,48.5,-121.5,0.1681,0.1608175
2023-08-17,48.5,-121.5,0.385235,0.374985
2023-08-18,48.5,-121.5,0.1546725,0.13207251
2023-08-19,48.5,-121.5,0.725755,0.71024
2023-08-20,48.5,-121.5,1.4830499,1.4667599
2023-08-21,48.5,-121.5,1.15298,1.1260076
2023-08-22,48.5,-121.5,0.75885004,0.7151825
2023-08-23,48.5,-121.5,0.12460999,0.10011
2023-08-24,48.5,-121.5,0.72929996,0.696345
2023-08-25,48.5,-121.5,0.38229,0.3552475
2023-08-26,48.5,-121.5,0.33043498,0.295545
2023-08-27,48.5,-121.5,0.3438175,0.2981725
2023-08-28,48.5,-121.5,0.37902,0.318125
2023-08-29,48.5,-121.5,0.5056125,0.3949725
2023-08-30,48.5,-121.5,0.30019,0.20943001
2023-08-31,48.5,-121.5,0.016085,0.00569
2023-09-01,48.5,-121.5,0.052975,0.040585
2023-09-02,48.5,-121.5,0.13017,0.084557496
2023-09-03,48.5,-121.5,0.1014825,0.05419
2023-09-04,48.5,-121.5,0.0978425,0.033535004
2023-09-05,48.5,-121.5,0.0828775,0.0323325
2023-09-06,48.5,-121.5,0.063785,0.0233375
